Country Name,Country Code,Indicator Name,Indicator Code,enrollment_rate_avg
China,CHN,"School enrollment, primary (% gross)",SE.PRM.ENRR,111.04414304097494
Japan,JPN,"School enrollment, primary (% gross)",SE.PRM.ENRR,102.88166024949811
"Korea, Rep.",KOR,"School enrollment, primary (% gross)",SE.PRM.ENRR,100.56187438964842
