"country_name","country_code","indicator_name","indicator_code","enrollment_rate_avg"
"Bangladesh","BGD","School enrollment, tertiary (% gross)","SE.TER.ENRR","10.916715"
"India","IND","School enrollment, tertiary (% gross)","SE.TER.ENRR","54.18485"
"Pakistan","PAK","School enrollment, tertiary (% gross)","SE.TER.ENRR","26.45167"
