"country_name","country_code","indicator_name","indicator_code","enrollment_rate_avg"
"Bangladesh","BGD","School enrollment, secondary (% gross)","SE.SEC.ENRR","42.496693"
"India","IND","School enrollment, secondary (% gross)","SE.SEC.ENRR","54.18485"
"Pakistan","PAK","School enrollment, secondary (% gross)","SE.PRM.ENRR","26.45167"
