"country_name","country_code","Average Primary School Enrollment Rate","Average Secondary School Enrollment Rate","Average Tertiary School Enrollment Rate"
"Indonesia","IDN","110.30678","75.07647","17.548363"
"Philippines","PHL","105.49452","79.896614","28.705359"
"Viet Nam","VNM","110.14967","75.28269","14.50842"
