Country Name,Country Code,Indicator Name,Indicator Code,enrollment_rate_avg
Indonesia,IDN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,75.07646650427401
Philippines,PHL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,79.89661776425037
Viet Nam,VNM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,75.28269019011356
