"country_name","country_code","Average Primary School Enrollment Rate","Average Secondary School Enrollment Rate","Average Tertiary School Enrollment Rate"
"Bangladesh","BGD","79.72729","42.496693","10.916715"
"India","IND","92.980286","54.18485","54.18485"
"Pakistan","PAK","58.367264","26.45167","26.45167"
