"country_name","country_code","indicator_name","indicator_code","enrollment_rate_avg"
"China","CHN","School enrollment, tertiary (% gross)","SE.TER.ENRR","18.485329"
"Japan","JPN","School enrollment, tertiary (% gross)","SE.TER.ENRR","40.73918"
"Korea, Rep.","KOR","School enrollment, tertiary (% gross)","SE.TER.ENRR","49.521294"
