Country Name,Country Code,Indicator Name,Indicator Code,enrollment_rate_avg
Bangladesh,BGD,"School enrollment, primary (% gross)",SE.PRM.ENRR,79.72728974732186
India,IND,"School enrollment, primary (% gross)",SE.PRM.ENRR,92.98028291017059
Pakistan,PAK,"School enrollment, primary (% gross)",SE.PRM.ENRR,58.367262319840584
