Country Name,Country Code,Indicator Name,Indicator Code,enrollment_rate_avg
Indonesia,IDN,"School enrollment, primary (% gross)",SE.PRM.ENRR,110.30678088934707
Philippines,PHL,"School enrollment, primary (% gross)",SE.PRM.ENRR,105.49452456687168
Viet Nam,VNM,"School enrollment, primary (% gross)",SE.PRM.ENRR,110.14967356586685
